Region,Region County,Lat,Long,Year,Sow Month,Ripe Time,Yield
TRawstn,Dorset,50.8575,-2.0897,2007,10/1,,7.94
Ulceby,Lincs,53.618,-0.3306,2016,10/11,,
Ulceby,Lincs,53.618,-0.3306,2017,26/10,,
Ulceby,NLincs,53.618,-0.3306,2007,10/1,295,9.05
Ulceby,NLincs,53.618,-0.3306,2009,10/9,299,10.31
Ulceby,NLincs,53.618,-0.3306,2010,24/9,327,11.06
Ulceby,NLincs,53.618,-0.3306,2011,10/11,,
Ulceby,NLincs,53.618,-0.3306,2012,10/1,,
Ulceby,NLincs,53.618,-0.3306,2013,10/2,,
Ulceby,NLincs,53.618,-0.3306,2014,28/9,,
Ulceby,NLincs,53.618,-0.3306,2015,10/3,,
Up Somborne,Hampshire,51.0884,-1.4321,2004,10/1,,9.38
Up Somborne,Hampshire,51.0884,-1.4321,2005,10/1,,11.61
UpSomb,Hants,51.0884,-1.4321,2006,10/1,,11.33
UpSomb,Hants,51.0884,-1.4321,2007,10/1,314,10.61
W'BCH,CAMBS,52.66622,-2.1811,2002,10/1,,10.99
WARM'R,WILTS,51.2046,0.1910,2002,10/1,311,9.57
Warwick,Warks.,52.2823,-1.5849,2003,10/1,,8.97
Warwick,Warwickshire,52.2823,-1.5849,2004,10/1,,
Waterbeach,Cambridgeshire,52.2656,0.1910,2004,10/1,,
Waterbeach,Cambridgeshire,52.2656,0.1910,2005,10/1,292,8.75
Waterbeach,Cambs.,52.2656,0.1910,2003,10/1,279,10.47
WCharlt,Devon,50.2697,-3.7556,2006,10/1,303,10.08
WCharlt,Devon,50.2697,-3.7556,2008,10/2,,8.15
WCharlt,Devon,50.2697,-3.7556,2009,10/2,,13.24
WCharlt,Devon,50.2697,-3.7556,2010,10/1,,11.35
WCharlt,Devon,50.2697,-3.7556,2011,10/7,,
WCharlt,Devon,50.2697,-3.7556,2013,19/10,,
WCharlt,Devon,50.2697,-3.7556,2014,10/9,,
WCharlt,Devon,50.2697,-3.7556,2015,20/10,,
WCharlt,Devon,50.2697,-3.7556,2016,13/10,,
Welbourn,Lincs,53.0754,-0.5588,2008,29/9,325,12.81
Welbourn,Lincs,53.0754,-0.5588,2009,29/9,317,13.44
Welbourn,Lincs,53.0754,-0.5588,2010,25/9,321,11.35
Welbourn,Lincs,53.0754,-0.5588,2011,10/5,,
Welbourn,Lincs,53.0754,-0.5588,2012,10/1,,
Welbourn,Lincs,53.0754,-0.5588,2013,28/9,,
Welbourn,Lincs,53.0754,-0.5588,2014,30/9,,
Welbourn,Lincs,53.0754,-0.5588,2015,24/9,,
Welbourn,Lincs,53.0754,-0.5588,2016,10/1,,
Welbourn,Lincs,53.0754,-0.5588,2017,24/9,,
West Charleton,Devon,50.2697,-3.7556,2005,10/1,305,10.64
Weston,Lincs,51.3474,-0.0832,2012,10/1,,
Whitsome,Scottish Borders,55.7484,-2.217,2004,10/1,,12.05
Whitsome,Scottish Borders,55.7484,-2.217,2005,10/1,325,10.29
WIM SG,DORSET,50.9071,-1.9552,2002,10/1,292,13.45
Wimborne St Giles,Dorset,50.9071,-1.9552,2004,10/1,,10.01
Wimbourne St Giles,Dorset,50.9071,-1.9552,2003,10/1,,10.71
